Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,0.9875
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.911883487240963, 'sigma_b': 0.08811651275903695, 'rho': 120.05120153048306, 'd': 0.10578493231398527, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 105.3763725490196, 'Stressed Variance': 11666.78530448866, 'Stressed Steady State Time': 94.53142126440585, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.20999999999999996,50,10.499999999999998,0.7625,0.6625,0.9625,0.6,0.8375,0.45,0.475,0.9875,1.0,0.7625,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9155878425807323, 'sigma_b': 0.0844121574192677, 'rho': 118.98755197717725, 'd': 0.10043995968430784, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.03489130434782, 'Stressed Variance': 8527.812804336014, 'Stressed Steady State Time': 99.56196748217475, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.21999999999999995,50,10.999999999999996,0.7,0.625,0.8625,0.45,0.7625,0.45,0.4875,1.0,0.975,0.65,1.0
"[{'sigma_u': 0.9189913162652757, 'sigma_b': 0.0810086837347243, 'rho': 118.02677552399939, 'd': 0.09561193730652966, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 102.55121951219512, 'Stressed Variance': 10613.226400951813, 'Stressed Steady State Time': 104.58945066597941, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.22999999999999995,50,11.499999999999998,0.675,0.5,0.95,0.45,0.8125,0.45,0.5,1.0,0.9875,0.775,1.0
"[{'sigma_u': 0.9189913162652757, 'sigma_b': 0.0810086837347243, 'rho': 118.02677552399939, 'd': 0.09561193730652966, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 102.55121951219512, 'Stressed Variance': 10613.226400951813, 'Stressed Steady State Time': 104.58945066597941, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.22999999999999995,50,11.499999999999998,0.675,0.5,0.95,0.45,0.8125,0.45,0.5,1.0,0.9875,0.775,1.0
"[{'sigma_u': 0.9189913162652757, 'sigma_b': 0.0810086837347243, 'rho': 118.02677552399939, 'd': 0.09561193730652966, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 102.55121951219512, 'Stressed Variance': 10613.226400951813, 'Stressed Steady State Time': 104.58945066597941, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.22999999999999995,50,11.499999999999998,0.675,0.5,0.95,0.45,0.8125,0.45,0.5,1.0,0.9875,0.775,1.0
"[{'sigma_u': 0.9189913162652757, 'sigma_b': 0.0810086837347243, 'rho': 118.02677552399939, 'd': 0.09561193730652966, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 102.55121951219512, 'Stressed Variance': 10613.226400951813, 'Stressed Steady State Time': 104.58945066597941, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.22999999999999995,50,11.499999999999998,0.675,0.5,0.95,0.45,0.8125,0.45,0.5,1.0,0.9875,0.775,1.0
"[{'sigma_u': 0.9189913162652757, 'sigma_b': 0.0810086837347243, 'rho': 118.02677552399939, 'd': 0.09561193730652966, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 102.55121951219512, 'Stressed Variance': 10613.226400951813, 'Stressed Steady State Time': 104.58945066597941, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.22999999999999995,50,11.499999999999998,0.675,0.5,0.95,0.45,0.8125,0.45,0.5,1.0,0.9875,0.775,1.0
"[{'sigma_u': 0.9189913162652757, 'sigma_b': 0.0810086837347243, 'rho': 118.02677552399939, 'd': 0.09561193730652966, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 102.55121951219512, 'Stressed Variance': 10613.226400951813, 'Stressed Steady State Time': 104.58945066597941, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.22999999999999995,50,11.499999999999998,0.675,0.5,0.95,0.45,0.8125,0.45,0.5,1.0,0.9875,0.775,1.0
